Theta[deg],Phi[deg],dB(NearEPhi),ang_deg(NearEPhi)[deg],dB(NearETheta),ang_deg(NearETheta)[deg]
85,-100,36.5398,-54.974,56.377,-59.903
90,-100,36.1066,-52.0264,55.5764,-66.6427
0,-95,43.1116,-100.193,61.9025,32.045
5,-95,43.2755,-111.233,62.3657,27.0777
10,-95,43.6355,-121.19,62.7253,22.4405
15,-95,44.1009,-129.693,62.9762,18.0871
20,-95,44.5859,-136.719,63.1171,13.9681
25,-95,45.0499,-142.498,63.1576,10.0372
30,-95,45.4464,-147.217,63.0918,6.23747
35,-95,45.7668,-151.134,62.9244,2.54544
40,-95,46.0077,-154.425,62.6602,-1.07727
45,-95,46.1726,-157.244,62.3047,-4.66982
50,-95,46.27,-159.724,61.8632,-8.2741
55,-95,46.3105,-161.974,61.3405,-11.9369
60,-95,46.3054,-164.083,60.7414,-15.7126
65,-95,46.2653,-166.12,60.0704,-19.6674
70,-95,46.1997,-168.144,59.3323,-23.883
75,-95,46.1168,-170.206,58.5334,-28.4612
80,-95,46.0237,-172.352,57.6831,-33.527
85,-95,45.9269,-174.624,56.7967,-39.2264
90,-95,45.8323,-177.055,55.8987,-45.7148
0,-90,47.2329,-120.638,61.8107,31.6155
5,-90,47.5534,-127.485,61.6719,29.9545
10,-90,47.8778,-133.874,61.4751,28.1721
15,-90,48.1907,-139.783,61.2197,26.2818
20,-90,48.478,-145.227,60.9056,24.2916
25,-90,48.7402,-150.291,60.5411,22.1727
30,-90,48.9694,-154.966,60.1254,19.9368
35,-90,49.1652,-159.312,59.6567,17.5934
40,-90,49.3279,-163.353,59.1377,15.1321
45,-90,49.459,-167.112,58.5704,12.5368
50,-90,49.5613,-170.616,57.9567,9.78419
55,-90,49.6383,-173.887,57.2981,6.84376
60,-90,49.6929,-176.943,56.596,3.67697
65,-90,49.7273,-179.8,55.852,0.235434
70,-90,49.7424,177.529,55.0683,-3.54226
75,-90,49.7384,175.027,54.2489,-7.73459
80,-90,49.7144,172.681,53.4009,-12.4402
85,-90,49.6695,170.476,52.5368,-17.7761
90,-90,49.6021,168.399,51.6779,-23.8645
0,-85,50.3155,-129.405,61.6514,31.1735
5,-85,50.272,-131.581,60.8464,33.3088
10,-85,50.1247,-134.005,59.9253,35.942
15,-85,49.8951,-136.833,58.9067,39.1047
20,-85,49.5958,-140.059,57.8159,42.8711
25,-85,49.2254,-143.567,56.6756,47.3853
30,-85,48.8184,-147.523,55.5413,52.5165
35,-85,48.3874,-151.811,54.4488,58.2073
40,-85,47.9549,-156.4,53.4431,64.1637
45,-85,47.5437,-161.236,52.549,69.957
50,-85,47.1742,-166.237,51.761,75.1176
55,-85,46.8613,-171.306,51.0472,79.2431
60,-85,46.6137,-176.34,50.3614,82.0543
65,-85,46.4365,178.915,49.6652,83.4021
70,-85,46.3251,174.486,48.9488,83.1629
75,-85,46.2591,170.437,48.1779,81.138
80,-85,46.2295,166.767,47.3562,77.1944
85,-85,46.2302,163.465,46.5143,71.177
90,-85,46.2577,160.518,45.7165,62.9625
0,-80,52.6192,-134.108,61.422,30.7112
5,-80,52.0383,-131.583,59.886,37.2623
10,-80,51.2454,-129.042,58.1266,46.8333
15,-80,50.2404,-126.495,56.3674,60.5945
20,-80,49.0153,-123.796,55.0711,78.6528
25,-80,47.5542,-120.64,54.68,98.0364
30,-80,45.8575,-116.889,55.0671,114.213
35,-80,43.9223,-112.043,55.7265,125.598
40,-80,41.7714,-105.53,56.3048,132.964
45,-80,39.4759,-96.5746,56.6681,137.488
50,-80,37.2036,-84.3577,56.7923,140.029
55,-80,35.2518,-68.6809,56.691,141.113
60,-80,33.9284,-50.9843,56.3874,141.031
65,-80,33.3563,-34.6589,55.9157,139.911
70,-80,33.1943,-21.1537,55.293,137.796
75,-80,33.0986,-10.5614,54.539,134.617
80,-80,32.8845,-1.61361,53.6766,130.255
85,-80,32.4971,7.16535,52.732,124.529
90,-80,31.9799,17.2888,51.7409,117.197
0,-75,54.4142,-137.039,61.1189,30.2197
5,-75,53.2188,-129.565,58.799,41.9217
10,-75,51.7156,-120.081,56.2892,62.2703
15,-75,50.0159,-107.578,54.9827,92.463
20,-75,48.4036,-91.061,55.8378,120.388
25,-75,47.3579,-71.1429,57.4187,137.637
30,-75,47.1736,-51.4987,58.6749,147.388
35,-75,47.596,-35.7304,59.4278,153.125
40,-75,48.1745,-24.603,59.7281,156.601
45,-75,48.6511,-17.1579,59.6549,158.648
50,-75,48.9493,-12.303,59.2794,159.665
55,-75,49.0748,-9.23697,58.6626,159.83
60,-75,49.0599,-7.41077,57.8572,159.2
65,-75,48.9456,-6.57843,56.924,157.719
70,-75,48.7694,-6.35325,55.9027,155.403
75,-75,48.54,-6.58723,54.8437,152.079
80,-75,48.2711,-7.08019,53.7939,147.623
85,-75,47.9675,-7.62527,52.7942,141.923
90,-75,47.626,-8.00175,51.8801,134.873
0,-70,55.8583,-139.058,60.7367,29.6878
5,-70,54.0126,-126.203,57.597,47.419
10,-70,51.9263,-107.084,54.9007,82.6609
15,-70,50.4743,-80.5238,55.8147,122.669
20,-70,50.5442,-53.0189,58.1875,144.789
25,-70,51.5373,-32.6824,59.8417,155.87
30,-70,52.4886,-19.5803,60.6444,162.305
35,-70,53.0599,-11.0615,60.7518,166.577
40,-70,53.2306,-5.33482,60.2936,169.683
45,-70,53.067,-1.44927,59.3628,172.061
50,-70,52.652,1.08984,58.0311,173.905
55,-70,52.0686,2.55897,56.3608,175.271
60,-70,51.3948,3.14026,54.4159,176.108
65,-70,50.7024,2.91743,52.2987,176.204
70,-70,50.057,2.08498,50.1223,175.455
75,-70,49.4895,0.741246,48.0657,173.273
80,-70,49.0246,-0.941948,46.3486,169.2
85,-70,48.6688,-2.7592,45.1769,163.131
90,-70,48.4125,-4.48214,44.6421,155.506
0,-65,57.0456,-140.549,60.2682,29.1012
5,-65,54.5447,-121.775,56.2997,53.8838
10,-65,52.3096,-90.6182,54.4755,104.865
15,-65,52.3977,-54.3012,57.4121,142.114
20,-65,53.9552,-29.4182,59.8409,158.006
25,-65,55.1718,-14.7999,60.9382,166.511
30,-65,55.6469,-5.34902,60.9635,172.387
35,-65,55.4384,1.52966,60.0905,177.334
40,-65,54.652,6.97079,58.3801,-177.767
45,-65,53.3851,11.4803,55.7962,-172.043
50,-65,51.7265,15.2686,52.1851,-163.835
55,-65,49.7653,18.3829,47.2876,-148.28
60,-65,47.5996,20.7465,42.0038,-110.414
65,-65,45.3531,22.1101,42.0157,-60.2745
70,-65,43.1875,22.1181,44.1959,-38.9743
75,-65,41.2807,20.2249,45.1585,-32.3549
80,-65,39.8568,16.1287,45.0433,-32.0395
85,-65,39.1151,10.243,44.0866,-36.1383
90,-65,39.1131,3.83442,42.3939,-45.1441
0,-60,58.0352,-141.709,59.7039,28.4406
5,-60,54.9062,-116.442,54.9367,61.4104
10,-60,53.1965,-73.0056,54.8846,123.836
15,-60,54.9049,-35.883,58.6572,154
20,-60,56.7011,-16.007,60.6125,166.601
25,-60,57.3712,-3.96064,60.9251,174.591
30,-60,56.9619,5.13677,59.8749,-178.423
35,-60,55.5656,13.4127,57.4359,-170.416
40,-60,53.2036,22.2641,53.2271,-157.689
45,-60,49.7925,33.6458,46.6965,-123.792
50,-60,45.2196,52.4189,46.1384,-49.1467
55,-60,40.5618,90.8493,50.4259,-19.7461
60,-60,40.4037,139.54,52.5591,-9.74099
65,-60,42.4376,164.703,53.3202,-5.38858
70,-60,43.725,176.294,53.2636,-3.93646
75,-60,44.2676,-177.394,52.6802,-4.68227
80,-60,44.3096,-173.468,51.7541,-7.58055
85,-60,43.9944,-170.655,50.6134,-12.8324
90,-60,43.3792,-168.163,49.3515,-20.8075
0,-55,58.8662,-142.65,59.0307,27.6787
5,-55,55.1703,-110.361,53.5455,70.0073
10,-55,54.5573,-57.2476,55.545,137.766
15,-55,57.1535,-23.8697,59.3488,161.951
20,-55,58.5803,-7,60.6392,173.17
25,-55,58.4162,4.79309,59.9566,-178.053
30,-55,56.7692,15.9679,57.3249,-167.849
35,-55,53.5068,30.1981,51.9615,-148.665
40,-55,48.3711,56.752,45.5913,-77.2413
45,-55,44.7758,117.164,51.2256,-18.1716
50,-55,47.7293,163.111,54.593,-2.32661
55,-55,50.0358,-178.628,55.7992,5.55811
60,-55,50.9917,-169.039,55.7798,10.5361
65,-55,51.1281,-163.032,54.9693,13.5171
70,-55,50.8274,-159.061,53.6428,14.6095
75,-55,50.3267,-156.506,52.0396,13.5898
80,-55,49.781,-155.012,50.399,10.123
85,-55,49.2749,-154.292,48.9581,4.00517
90,-55,48.8341,-154.052,47.8965,-4.69535
0,-50,59.5656,-143.439,58.2306,26.7761
5,-50,55.3959,-103.737,52.1626,79.5444
10,-50,56.1033,-44.7867,56.0559,147.649
15,-50,58.9316,-15.5614,59.5252,167.801
20,-50,59.7345,0.116195,60.0308,178.774
25,-50,58.5026,13.4155,58.0568,-170.389
30,-50,55.1001,30.4777,52.8556,-151.495
35,-50,49.2163,67.7555,45.7023,-71.9793
40,-50,48.4888,143.173,52.6193,-10.1794
45,-50,52.3593,177.924,55.975,5.85994
50,-50,54.0409,-166.736,56.8163,15.3129
55,-50,54.1964,-156.733,56.1251,22.6957
60,-50,53.411,-149.113,54.2667,28.9443
65,-50,52.0475,-143.083,51.3866,34.1596
70,-50,50.4288,-138.42,47.5172,38.1543
75,-50,48.8407,-135.162,42.7159,40.1821
80,-50,47.5366,-133.426,37.3745,37.6277
85,-50,46.6864,-133.259,33.3969,25.2629
90,-50,46.3356,-134.456,33.7686,8.84197
0,-45,60.1527,-144.119,57.2787,25.6717
5,-45,55.626,-96.8423,50.8057,89.7437
10,-45,57.5856,-35.4144,56.2635,154.844
15,-45,60.264,-9.33375,59.2465,172.418
20,-45,60.3024,6.43959,58.851,-176.103
25,-45,57.7269,23.264,55.1225,-161.271
30,-45,51.963,56.4247,46.0637,-108.885
35,-45,49.9413,139.868,51.4895,-12.1098
40,-45,54.5237,-179.168,55.9788,8.73075
45,-45,56.2496,-161.483,56.9837,20.6912
50,-45,55.9357,-148.729,55.8479,31.1267
55,-45,54.1587,-137.285,52.743,42.1751
60,-45,51.1625,-125.591,46.941,58.1893
65,-45,47.0327,-111.632,36.9246,118.068
70,-45,42.0232,-91.0583,42.1935,-158.216
75,-45,37.5545,-58.355,45.789,-143.355
80,-45,35.8289,-25.9939,46.6471,-139.396
85,-45,35.0372,-11.6174,46.0414,-140.614
90,-45,33.1496,-14.6843,44.3184,-146.501
0,-40,60.6413,-144.72,56.1391,24.2665
5,-40,55.8834,-89.9903,49.4525,100.268
10,-40,58.8864,-28.3877,56.1225,160.317
15,-40,61.2225,-4.34365,58.5555,176.214
20,-40,60.3922,12.522,57.1252,-171.246
25,-40,56.1403,36.1524,50.8595,-148.144
30,-40,50.0003,107.888,46.9176,-31.9217
35,-40,54.9634,174.956,54.641,6.45267
40,-40,57.6284,-161.871,56.6823,21.4805
45,-40,57.4138,-145.693,55.711,34.5881
50,-40,54.9738,-129.559,51.838,50.2904
55,-40,50.1398,-107.53,42.8606,88.4207
60,-40,43.297,-55.8675,44.5153,-157.609
65,-40,44.7418,16.5987,50.0601,-132.576
70,-40,47.8143,42.3639,51.887,-121.967
75,-40,48.9697,53.5005,52.0543,-116.177
80,-40,49.1048,59.2419,51.2999,-114.368
85,-40,48.7054,61.9697,50.0141,-116.967
